Type,Brand,Model,Benchmark,Size,Model_Type,URL
SSD,HP,EX950 NVMe PCIe M.2 1TB,284.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/706053/HP-SSD-EX950-1TB
SSD,Crucial,P5 3D NVMe PCIe M.2 2TB,283.0,2TB,M.2,https://ssd.userbenchmark.com/SpeedTest/1232397/CT2000P5SSD8
SSD,Samsung,960 Pro NVMe PCIe M.2 1TB,279.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/200815/Samsung-SSD-960-PRO-1TB
SSD,Adata,XPG SX8200 Pro NVMe PCIe M.2 1TB,279.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/638791/ADATA-SX8200PNP
SSD,WD,Black SN750 NVMe PCIe M.2 1TB (2019),277.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/703216/WDS100T3X0C-00SJG0
SSD,SanDisk,Extreme Pro NVMe PCIe M.2 1TB (2018),276.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/493695/SanDisk-Extreme-Pro-1TB
SSD,Samsung,970 Evo Plus NVMe PCIe M.2 500GB,276.0,500GB,M.2,https://ssd.userbenchmark.com/SpeedTest/700020/Samsung-SSD-970-EVO-Plus-500GB
SSD,Samsung,970 Evo Plus NVMe PCIe M.2 500GB,276.0,500GB,M.2,https://ssd.userbenchmark.com/SpeedTest/700020/Samsung-SSD-970-EVO-Plus-500GB
SSD,Intel,800p NVMe PCIe M.2 118GB,275.0,118GB,M.2,https://ssd.userbenchmark.com/SpeedTest/489136/NVMe-INTEL-SSDPEK1W12
SSD,Sabrent,Rocket 4 NVMe PCIe M.2 500GB,274.0,500GB,M.2,https://ssd.userbenchmark.com/SpeedTest/905105/Sabrent-Rocket-40-500GB
SSD,Samsung,970 Evo NVMe PCIe M.2 500GB,273.0,500GB,M.2,https://ssd.userbenchmark.com/SpeedTest/493995/Samsung-SSD-970-EVO-500GB
SSD,Adata,XPG SX8200 Pro NVMe PCIe M.2 2TB,271.0,2TB,M.2,https://ssd.userbenchmark.com/SpeedTest/892867/NVMe-ADATA-SX8200PNP
SSD,Samsung,960 Pro NVMe PCIe M.2 2TB,271.0,2TB,M.2,https://ssd.userbenchmark.com/SpeedTest/215493/Samsung-SSD-960-PRO-2TB
SSD,Samsung,980 Pro NVMe PCIe M.2 250GB,270.0,250GB,M.2,https://ssd.userbenchmark.com/SpeedTest/1311638/Samsung-SSD-980-PRO-250GB
SSD,HP,EX920 NVMe PCIe M.2 1TB,267.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/488611/HP-SSD-EX920-1TB
SSD,Samsung,960 Pro NVMe PCIe M.2 512GB,266.0,512GB,M.2,https://ssd.userbenchmark.com/SpeedTest/182182/Samsung-SSD-960-PRO-512GB
SSD,WD,Black SN750 NVMe PCIe M.2 2TB (2019),263.0,2TB,M.2,https://ssd.userbenchmark.com/SpeedTest/764887/WDS200T3X0C-00SJG0
SSD,Intel,800p NVMe PCIe M.2 58GB,263.0,58GB,M.2,https://ssd.userbenchmark.com/SpeedTest/483445/NVMe-INTEL-SSDPEK1W06
SSD,WD,Black NVMe PCIe M.2 1TB (2018),262.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/486281/WDS100T2X0C-00L350
SSD,Samsung,980 NVMe PCIe M.2 1TB,260.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/1488476/Samsung-SSD-980-1TB
SSD,Intel,670p NVMe PCIe M.2 1TB,259.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/1493432/INTEL-SSDPEKNU010TZ
