Type,Brand,Model,Benchmark,Size,Model_Name,Storage_Size,Year,URL
HDD,WD,Gold 2TB (2016),87.8,2TB,Gold,2TB,2016.0,https://hdd.userbenchmark.com/SpeedTest/206650/WDC-WD2005FBYZ-01YCBB1
HDD,Seagate,SkyHawk 4TB (2016),87.2,4TB,SkyHawk,4TB,2016.0,https://hdd.userbenchmark.com/SpeedTest/215593/ST4000VX007-2DT166
HDD,Seagate,Barracuda 2TB (2018),86.9,2TB,Barracuda,2TB,2018.0,https://hdd.userbenchmark.com/SpeedTest/466743/ST2000DM008-2FR102
HDD,Toshiba,MD04ACA600 6TB,86.8,6TB,MD04ACA600,6TB,,https://hdd.userbenchmark.com/SpeedTest/35546/TOSHIBA-MD04ACA600
HDD,Toshiba,X300 6TB,86.8,6TB,X300,6TB,,https://hdd.userbenchmark.com/Toshiba-X300-6TB/Rating/3594
HDD,Toshiba,X300 6TB,86.8,6TB,X300,6TB,,https://hdd.userbenchmark.com/Toshiba-X300-6TB/Rating/3594
HDD,Toshiba,P300 3TB,86.6,3TB,P300,3TB,,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,Toshiba,P300 3TB,86.6,3TB,P300,3TB,,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,Toshiba,P300 3TB,86.6,3TB,P300,3TB,,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,Seagate,Constellation CS 2TB,86.3,2TB,Constellation CS,2TB,,https://hdd.userbenchmark.com/SpeedTest/10959/ST2000NC001-1DY164
HDD,Toshiba,DT01ACA200 2TB,85.7,2TB,DT01ACA200,2TB,,https://hdd.userbenchmark.com/Toshiba-DT01ACA200-2TB/Rating/2736
HDD,HGST,Deskstar NAS 5TB,85.6,5TB,Deskstar NAS,5TB,,https://hdd.userbenchmark.com/SpeedTest/36844/HGST-HDN726050ALE610
HDD,WD,Red 8TB (2017),85.5,8TB,Red,8TB,2017.0,https://hdd.userbenchmark.com/SpeedTest/314696/WDC-WD80EFAX-68LHPN0
HDD,Toshiba,MD04ACA500 5TB,85.4,5TB,MD04ACA500,5TB,,https://hdd.userbenchmark.com/Toshiba-MD04ACA500-5TB/Rating/3526
HDD,WD,Red Pro 3TB (2014),85.2,3TB,Red Pro,3TB,2014.0,https://hdd.userbenchmark.com/SpeedTest/27132/WDC-WD3001FFSX-68JNUN0
HDD,WD,Black 5TB (2015),84.9,5TB,Black,5TB,2015.0,https://hdd.userbenchmark.com/WD-Black-5TB-2015/Rating/3907
HDD,WD,Gold 1TB (2016),84.9,1TB,Gold,1TB,2016.0,https://hdd.userbenchmark.com/SpeedTest/204853/WDC-WD1005FBYZ-01YCBB1
HDD,Toshiba,DT01ACA300 3TB,84.7,3TB,DT01ACA300,3TB,,https://hdd.userbenchmark.com/Toshiba-DT01ACA300-3TB/Rating/2735
HDD,Seagate,FireCuda SSHD 2TB (2016),84.5,2TB,FireCuda SSHD,2TB,2016.0,https://hdd.userbenchmark.com/Seagate-FireCuda-SSHD-2TB-2016/Rating/3903
HDD,Hitachi,UltraStar 15K600 450GB,84.5,450GB,UltraStar 15K600,450GB,,https://hdd.userbenchmark.com/SpeedTest/9674/HITACHI-HUS156045VLS600
HDD,WD,Purple Surveillance 4TB (2017),84.3,4TB,Purple Surveillance,4TB,2017.0,https://hdd.userbenchmark.com/SpeedTest/433989/WDC-WD40PURZ-85T
HDD,Seagate,Constellation ES.3 2TB,84.2,2TB,Constellation ES.3,2TB,,https://hdd.userbenchmark.com/SpeedTest/12036/ST2000NM0033-9ZM175
HDD,Seagate,Cheetah 15K.7 SAS 300GB,84.1,300GB,Cheetah 15K.7 SAS,300GB,,https://hdd.userbenchmark.com/SpeedTest/9679/SEAGATE-ST3300657SS
HDD,WD,Red Pro 4TB (2014),84.1,4TB,Red Pro,4TB,2014.0,https://hdd.userbenchmark.com/WD-Red-Pro-4TB-2014/Rating/2664
HDD,Toshiba,P300 1TB,84.1,1TB,P300,1TB,,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,Toshiba,P300 1TB,84.1,1TB,P300,1TB,,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,Toshiba,P300 1TB,84.1,1TB,P300,1TB,,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,Toshiba,DT01ACA100 1TB,84.0,1TB,DT01ACA100,1TB,,https://hdd.userbenchmark.com/Toshiba-DT01ACA100-1TB/Rating/2737
HDD,Toshiba,X300 4TB,84.0,4TB,X300,4TB,,https://hdd.userbenchmark.com/Toshiba-X300-4TB/Rating/3592
HDD,Toshiba,X300 4TB,84.0,4TB,X300,4TB,,https://hdd.userbenchmark.com/Toshiba-X300-4TB/Rating/3592
HDD,Seagate,Constellation ES.3 1TB,83.7,1TB,Constellation ES.3,1TB,,https://hdd.userbenchmark.com/SpeedTest/7297/ST1000NM0033-9ZM173
HDD,WD,Blue 1TB (2012),83.4,1TB,Blue,1TB,2012.0,https://hdd.userbenchmark.com/WD-Blue-1TB-2012/Rating/1779
HDD,Seagate,Desktop SSHD 1TB,83.2,1TB,Desktop SSHD,1TB,,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-1TB/Rating/1784
HDD,Seagate,Desktop SSHD 2TB,83.0,2TB,Desktop SSHD,2TB,,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-2TB/Rating/1783
HDD,Seagate,Desktop SSHD 2TB,83.0,2TB,Desktop SSHD,2TB,,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-2TB/Rating/1783
HDD,Seagate,SkyHawk 3TB (2016),82.9,3TB,SkyHawk,3TB,2016.0,https://hdd.userbenchmark.com/SpeedTest/237204/ST3000VX010-2E3166
HDD,Seagate,Barracuda 4TB (2016),82.4,4TB,Barracuda,4TB,2016.0,https://hdd.userbenchmark.com/Seagate-Barracuda-4TB-2016/Rating/3899
HDD,WD,Black 1TB (2013),82.3,1TB,Black,1TB,2013.0,https://hdd.userbenchmark.com/WD-Black-1TB-2013/Rating/1822
HDD,WD,Black 3TB (2013),82.0,3TB,Black,3TB,2013.0,https://hdd.userbenchmark.com/SpeedTest/5002/WDC-WD3003FZEX-00Z4SA0
HDD,Seagate,FireCuda SSHD 1TB (2016),81.8,1TB,FireCuda SSHD,1TB,2016.0,https://hdd.userbenchmark.com/Seagate-FireCuda-SSHD-1TB-2016/Rating/3902
HDD,Toshiba,MD04ACA400 4TB,81.8,4TB,MD04ACA400,4TB,,https://hdd.userbenchmark.com/Toshiba-MD04ACA400-4TB/Rating/3202
HDD,Seagate,IronWolf 3TB (2016),81.7,3TB,IronWolf,3TB,2016.0,https://hdd.userbenchmark.com/Seagate-IronWolf-3TB-2016/Rating/3905
HDD,WD,Purple Surveillance 8TB (2017),81.5,8TB,Purple Surveillance,8TB,2017.0,https://hdd.userbenchmark.com/SpeedTest/382445/WDC-WD80PURZ-85YNPY0
HDD,Seagate,IronWolf 2TB (2016),81.0,2TB,IronWolf,2TB,2016.0,https://hdd.userbenchmark.com/SpeedTest/245098/ST2000VN004-2E4164
