Type,Brand,Model,Benchmark,Model_Type,Tier,Processor_Number,URL
CPU,Intel,Core i3-5010U,47.7,Core,i3,5010U,https://cpu.userbenchmark.com/SpeedTest/23565/IntelR-CoreTM-i3-5010U-CPU---210GHz
CPU,Intel,Xeon E5462,47.6,Xeon,Xeon E546,2,https://cpu.userbenchmark.com/SpeedTest/16556/IntelR-XeonR-CPU-----------E5462----280GHz
CPU,Intel,Celeron G550,47.6,Celeron,Celeron,G550,https://cpu.userbenchmark.com/SpeedTest/5014/IntelR-CeleronR-CPU-G550---260GHz
CPU,Intel,Core i5-2520M,47.6,Core,i5,2520M,https://cpu.userbenchmark.com/SpeedTest/29/IntelR-CoreTM-i5-2520M-CPU---250GHz
CPU,Intel,Core i3-8130U,47.6,Core,i3,8130U,https://cpu.userbenchmark.com/SpeedTest/468020/IntelR-CoreTM-i3-8130U-CPU---220GHz
CPU,Intel,Core i3-2328M,47.5,Core,i3,2328M,https://cpu.userbenchmark.com/SpeedTest/2488/IntelR-CoreTM-i3-2328M-CPU---220GHz
CPU,Intel,Pentium G4400,47.5,Pentium,Pentium,G4400,https://cpu.userbenchmark.com/Intel-Pentium-G4400/Rating/3539
CPU,Intel,Core m3-8100Y,47.4,Core,,,https://cpu.userbenchmark.com/SpeedTest/648336/IntelR-CoreTM-m3-8100Y-CPU---110GHz
CPU,AMD,A8-7670K APU (2014 D.Ka),47.4,A8-7670K,A8-,7670K,https://cpu.userbenchmark.com/SpeedTest/37178/AMD-A8-7670K-Radeon-R7-10-Compute-Cores-4C-6G
CPU,AMD,Phenom II X4 840,47.3,Phenom,Phenom II,X4,https://cpu.userbenchmark.com/SpeedTest/3302/AMD-Phenomtm-II-X4-840-Processor
CPU,Intel,Pentium G630,47.3,Pentium,Pentium,G630,https://cpu.userbenchmark.com/SpeedTest/3112/IntelR-PentiumR-CPU-G630---270GHz
CPU,Intel,Core i5-3317U,47.2,Core,i5,3317U,https://cpu.userbenchmark.com/Intel-Core-i5-3317U/Rating/2744
CPU,AMD,Phenom II X3 710,47.2,Phenom,Phenom II,X3,https://cpu.userbenchmark.com/SpeedTest/2275/AMD-Phenomtm-II-X3-710-Processor
CPU,Intel,Core i5-7Y54,47.2,Core,i5,7Y54,https://cpu.userbenchmark.com/SpeedTest/193628/IntelR-CoreTM-i5-7Y54-CPU---120GHz
CPU,Intel,Core i5-3337U,47.2,Core,i5,3337U,https://cpu.userbenchmark.com/SpeedTest/737/IntelR-CoreTM-i5-3337U-CPU---180GHz
CPU,Intel,Core i7-4510U,47.1,Core,i7,4510U,https://cpu.userbenchmark.com/SpeedTest/10660/IntelR-CoreTM-i7-4510U-CPU---200GHz
CPU,Intel,Core i3-2330M,47.0,Core,i3,2330M,https://cpu.userbenchmark.com/SpeedTest/1853/IntelR-CoreTM-i3-2330M-CPU---220GHz
CPU,Intel,Core i3 550,47.0,Core,Core i3,550,https://cpu.userbenchmark.com/SpeedTest/632/IntelR-CoreTM-i3-CPU---------550----320GHz
CPU,Intel,Core i3-2350M,47.0,Core,i3,2350M,https://cpu.userbenchmark.com/SpeedTest/934/IntelR-CoreTM-i3-2350M-CPU---230GHz
CPU,Intel,Core m3-7Y32,47.0,Core,,,https://cpu.userbenchmark.com/SpeedTest/513740/IntelR-CoreTM-m3-7Y32-CPU---110GHz
CPU,Intel,Core2 Quad Q9505,47.0,Core2,Core2 Quad,Quad,https://cpu.userbenchmark.com/SpeedTest/3041/IntelR-CoreTM2-Quad-CPU----Q9505----283GHz
CPU,AMD,A10-7890K APU (2014 D.Ka),47.0,A10-7890K,A10-,7890K,https://cpu.userbenchmark.com/SpeedTest/118648/AMD-A10-7890K-Radeon-R7-12-Compute-Cores-4C-8G
CPU,Intel,Core i3-10110U,46.9,Core,i3,10110U,https://cpu.userbenchmark.com/SpeedTest/915083/IntelR-CoreTM-i3-10110U-CPU---210GHz
CPU,Intel,Xeon E5-2660 v2,46.9,Xeon,Xeon E5-2660,2,https://cpu.userbenchmark.com/SpeedTest/13068/IntelR-XeonR-CPU-E5-2660-v2---220GHz
CPU,Intel,Celeron G540,46.9,Celeron,Celeron,G540,https://cpu.userbenchmark.com/SpeedTest/5981/IntelR-CeleronR-CPU-G540---250GHz
CPU,Intel,Xeon L5420,46.7,Xeon,Xeon,,https://cpu.userbenchmark.com/SpeedTest/10433/IntelR-XeonR-CPU-----------L5420----250GHz
CPU,AMD,A10-6700T APU (2013 D.Ri),46.7,A10-6700T,A10-,6700T,https://cpu.userbenchmark.com/SpeedTest/5691/AMD-A10-6700T-APU-with-Radeontm-HD-Graphics
CPU,Intel,Pentium 2020M,46.7,Pentium,Pentium,2020M,https://cpu.userbenchmark.com/SpeedTest/1723/IntelR-PentiumR-CPU-2020M---240GHz
CPU,AMD,A8-3870 APU,46.7,A8-3870,A8-,3870,https://cpu.userbenchmark.com/SpeedTest/3870/AMD-A8-3870-APU-with-Radeontm-HD-Graphics
CPU,Intel,Core2 Extreme Q6850,46.7,Core2,Core2 Extreme,Extreme,https://cpu.userbenchmark.com/SpeedTest/7118/IntelR-CoreTM2-Extreme-CPU-Q6850----300GHz
CPU,Intel,Core M-5Y10,46.5,Core,Core M-,5Y10,https://cpu.userbenchmark.com/SpeedTest/17561/IntelR-Processor-5Y10-CPU---080GHz
CPU,AMD,Phenom 9950,46.5,Phenom,Phenom,9950,https://cpu.userbenchmark.com/SpeedTest/2758/AMD-Phenomtm-9950-Quad-Core-Processor
CPU,AMD,Phenom II X2 560,46.5,Phenom,Phenom II,X2,https://cpu.userbenchmark.com/SpeedTest/5408/AMD-Phenomtm-II-X2-560-Processor
CPU,Intel,Core i3-2310M,46.5,Core,i3,2310M,https://cpu.userbenchmark.com/SpeedTest/159/IntelR-CoreTM-i3-2310M-CPU---210GHz
CPU,Intel,Core m3-7Y30,46.4,Core,,,https://cpu.userbenchmark.com/SpeedTest/196956/IntelR-CoreTM-m3-7Y30-CPU---100GHz
CPU,AMD,Athlon II X4 631,46.4,Athlon,Athlon II,X4,https://cpu.userbenchmark.com/SpeedTest/2944/AMD-Athlontm-II-X4-631-Quad-Core-Processor
CPU,Intel,Pentium G620,46.4,Pentium,Pentium,G620,https://cpu.userbenchmark.com/SpeedTest/2636/IntelR-PentiumR-CPU-G620---260GHz
CPU,Intel,Core i5 650,46.3,Core,Core i5,650,https://cpu.userbenchmark.com/SpeedTest/340/IntelR-CoreTM-i5-CPU---------650----320GHz
CPU,AMD,Athlon II X3 460,46.3,Athlon,Athlon II,X3,https://cpu.userbenchmark.com/SpeedTest/6695/AMD-Athlontm-II-X3-460-Processor
CPU,AMD,Athlon II X4 870K,46.2,Athlon,Athlon II,X4,https://cpu.userbenchmark.com/SpeedTest/83847/AMD-Athlontm-X4-870K-Quad-Core-Processor
CPU,Intel,Core i7-5500U,46.2,Core,i7,5500U,https://cpu.userbenchmark.com/SpeedTest/22316/IntelR-CoreTM-i7-5500U-CPU---240GHz
CPU,Intel,Core2 Extreme Q9300,46.1,Core2,Core2 Extreme,Extreme,https://cpu.userbenchmark.com/SpeedTest/4063/IntelR-CoreTM2-Extreme-CPU-Q9300----253GHz
CPU,Intel,Core2 Quad Q9400,46.1,Core2,Core2 Quad,Quad,https://cpu.userbenchmark.com/SpeedTest/244/IntelR-CoreTM2-Quad-CPU----Q9400----266GHz
