Type,Brand,Model,Benchmark,Type_Speed,CAS_Latency,RAM_Sticks,GB_Amount,URL
RAM,RipjawsX,RipjawsX DDR3 1600 C10 2x8GB,49.0,DDR3 1600,C10,3,8GB,https://ram.userbenchmark.com/SpeedTest/89329/GSKILL-F3-12800CL10-8GBXL-2x8GB
RAM,Vengeance,Vengeance DDR3 1600 C9 2x4GB,48.4,DDR3 1600,C9,3,4GB,https://ram.userbenchmark.com/SpeedTest/89203/Corsair-Vengeance-CMZ8GX3M2A1600C9-2x4GB
RAM,Ballistix,Ballistix Sport LT DDR4 2666 C16 1x8GB,46.7,DDR4 2666,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/321149/Crucial-BLS8G4D26BFSC16FBD2-1x8GB
RAM,Ballistix,Ballistix Sport LT DDR4 2666 C16 1x8GB,46.7,DDR4 2666,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/321149/Crucial-BLS8G4D26BFSC16FBD2-1x8GB
RAM,Ballistix,Ballistix Sport LT DDR4 2666 C16 1x8GB,46.7,DDR4 2666,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/321149/Crucial-BLS8G4D26BFSC16FBD2-1x8GB
RAM,Ballistix,Ballistix Sport LT DDR4 2400 C16 1x8GB,43.1,DDR4 2400,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/142440/Crucial-BLS8G4D240FSB16FBD-1x8GB
RAM,UDIMM,UDIMM DDR4 2400 C16 1x8GB,41.6,DDR4 2400,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/358525/Crucial-CT8G4DFD824AC16FHP-1x8GB
RAM,Vengeance,Vengeance LPX DDR4 2400 C16 1x8GB,41.6,DDR4 2400,C16,4,8GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C16-1x8GB/Rating/3610
RAM,Vengeance,Vengeance LPX DDR4 2400 C16 1x8GB,41.6,DDR4 2400,C16,4,8GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C16-1x8GB/Rating/3610
RAM,UDIMM,UDIMM DDR4 2400 C16 1x16GB,41.5,DDR4 2400,C16,4,16GB,https://ram.userbenchmark.com/SpeedTest/228105/Crucial-CT16G4DFD824AC16FAD-1x16GB
RAM,Fury,Fury DDR4 2133 C14 1x8GB,40.2,DDR4 2133,C14,4,8GB,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-1x8GB/Rating/3555
RAM,Vengeance,Vengeance LPX DDR4 2400 C14 1x8GB,38.7,DDR4 2400,C14,4,8GB,https://ram.userbenchmark.com/SpeedTest/89446/Corsair-Vengeance-LPX-CMK8GX4M1A2400C14-1x8GB
RAM,UDIMM,UDIMM DDR4 2400 C17 1x4GB,38.7,DDR4 2400,C17,4,4GB,https://ram.userbenchmark.com/SpeedTest/372497/Crucial-CT4G4DFS824AC8FHP-1x4GB
RAM,Vengeance,Vengeance LPX DDR4 2400 C14 1x4GB,38.7,DDR4 2400,C14,4,4GB,https://ram.userbenchmark.com/SpeedTest/97522/Corsair-Vengeance-LPX-CMK4GX4M1A2400C14-1x4GB
RAM,Value,Value DDR4 2133 C15 1x4GB,37.6,DDR4 2133,C15,4,4GB,https://ram.userbenchmark.com/SpeedTest/109263/GSKILL-F4-2133C15-4GNT-1x4GB
RAM,ValueSelect,ValueSelect DDR4 2133 C15 1x4GB,37.3,DDR4 2133,C15,4,4GB,https://ram.userbenchmark.com/SpeedTest/96727/Corsair-ValueSelect-CMV4GX4M1A2133C15-1x4GB
RAM,Vengeance,Vengeance DDR3 1600 C10 1x8GB,30.8,DDR3 1600,C10,3,8GB,https://ram.userbenchmark.com/SpeedTest/89201/Corsair-Vengeance-CMZ8GX3M1A1600C10-1x8GB
RAM,Ripjaws,Ripjaws DDR3 1600 C9 1x4GB,29.0,DDR3 1600,C9,3,4GB,https://ram.userbenchmark.com/SpeedTest/90810/GSKILL-F3-12800CL9-4GBRL-1x4GB
RAM,RipjawsX,RipjawsX DDR3 1600 C10 1x8GB,27.7,DDR3 1600,C10,3,8GB,https://ram.userbenchmark.com/SpeedTest/89412/GSKILL-F3-12800CL10-8GBXL-1x8GB
